idx,obj_value,converged,iterations,iteration_limit_reached,time_it_took,theta_hat,theta0,is_optimum
1,7.4236119926374345e-28,true,3,false,0.00026,"[4.96979300425388, 1.1912045293502291]","[0.06364138660614915, 0.2604202723600453]",0
2,7.4236119926374345e-28,true,3,false,0.0003732,"[4.969793004253879, 1.1912045293502291]","[1.1726360942783431, -0.9272799029227115]",0
3,4.1678118622806195e-28,true,3,false,0.0003532,"[4.9697930042539005, 1.1912045293502278]","[0.07698717462614191, -0.32823517370596766]",0
4,3.159472287571048e-28,true,3,false,0.0003276,"[4.969793004253923, 1.1912045293502265]","[-1.3655459849475267, 1.3000598618314951]",0
5,3.451917154553413e-28,true,3,false,0.0003041,"[4.9697930042538765, 1.1912045293502296]","[0.24167994562362338, -0.5182863622311493]",0
6,2.1441972866661327e-28,true,3,false,0.0002493,"[4.969793004253921, 1.1912045293502267]","[0.08098775639095956, 1.0086857251564538]",0
7,6.4888178956197365e-28,true,3,false,0.000221,"[4.969793004253904, 1.1912045293502278]","[-1.3772815919169223, -0.1043954838563328]",0
8,6.811433141446361e-28,true,3,false,0.0002016,"[4.969793004253888, 1.1912045293502287]","[-0.41205202074467273, -1.1933861805337216]",0
9,8.344238824288264e-28,true,3,false,0.0002091,"[4.969793004253925, 1.1912045293502262]","[0.6603076784709887, 0.22085772740591736]",0
10,1.298435448536621e-27,true,3,false,0.0002114,"[4.969793004253899, 1.1912045293502282]","[0.49340543618078625, -0.6139004857356011]",0
11,1.1785921763072725e-28,true,3,false,0.0001786,"[4.9697930042539245, 1.1912045293502265]","[-0.6702076614751001, 1.4503071333595194]",1
12,2.3854296407317893e-28,true,3,false,0.0002902,"[4.9697930042539, 1.191204529350228]","[1.1426924724474192, -0.7979495826778349]",0
13,9.580402049936747e-28,true,3,false,0.000243,"[4.969793004253931, 1.1912045293502262]","[-0.35715186214167405, -1.1041688023815013]",0
14,1.383056572381445e-28,true,3,false,0.0003706,"[4.96979300425391, 1.1912045293502274]","[-1.2351269426031646, -0.5594852564768137]",0
15,2.9525314088894384e-28,true,3,false,0.0003581,"[4.969793004253927, 1.1912045293502262]","[-0.10917076702525708, 0.6409077674586237]",0
